Molecule name: Ar    
  z             z-rho [g/ml]           z-rho [1/A^3]
  0.4229         0.0000000E+00          0.0000000E+00
  1.2686         0.0000000E+00          0.0000000E+00
  2.1144         0.0000000E+00          0.0000000E+00
  2.9601         0.0000000E+00          0.0000000E+00
  3.8059         0.0000000E+00          0.0000000E+00
  4.6516         0.0000000E+00          0.0000000E+00
  5.4974         0.0000000E+00          0.0000000E+00
  6.3431         0.0000000E+00          0.0000000E+00
  7.1889         0.0000000E+00          0.0000000E+00
  8.0346         0.0000000E+00          0.0000000E+00
  8.8804         0.0000000E+00          0.0000000E+00
  9.7261         0.0000000E+00          0.0000000E+00
 10.5719         0.0000000E+00          0.0000000E+00
 11.4176         0.0000000E+00          0.0000000E+00
 12.2634         0.0000000E+00          0.0000000E+00
 13.1091         0.0000000E+00          0.0000000E+00
 13.9549         0.0000000E+00          0.0000000E+00
 14.8006         0.0000000E+00          0.0000000E+00
 15.6464         0.0000000E+00          0.0000000E+00
 16.4921         0.1443708E+00          0.2176382E-02
 17.3379         0.8555304E-01          0.1289708E-02
 18.1836         0.2673533E-02          0.4030337E-04
 19.0294         0.6683832E-02          0.1007584E-03
 19.8751         0.2448956E+01          0.3691789E-01
 20.7209         0.1102832E+01          0.1662514E-01
 21.5666         0.6282802E-01          0.9471293E-03
 22.4124         0.1523914E+00          0.2297292E-02
 23.2581         0.2833945E+00          0.4272158E-02
 24.1039         0.1564017E+00          0.2357747E-02
 24.9496         0.4812359E-01          0.7254607E-03
 25.7954         0.1069413E-01          0.1612135E-03
 26.6411         0.3074563E-01          0.4634888E-03
 27.4869         0.2138826E-01          0.3224270E-03
 28.3326         0.9357364E-02          0.1410618E-03
 29.1784         0.1203090E-01          0.1813652E-03
 30.0241         0.8020598E-02          0.1209101E-03
 30.8699         0.4010299E-02          0.6045506E-04
 31.7156         0.2673533E-02          0.4030337E-04
 32.5614         0.1336766E-02          0.2015169E-04
 33.4071         0.2673533E-02          0.4030337E-04
 34.2529         0.2673533E-02          0.4030337E-04
 35.0986         0.4010299E-02          0.6045506E-04
 35.9444         0.8020598E-02          0.1209101E-03
 36.7901         0.8020598E-02          0.1209101E-03
 37.6359         0.6683832E-02          0.1007584E-03
 38.4816         0.8020598E-02          0.1209101E-03
 39.3274         0.8020598E-02          0.1209101E-03
 40.1731         0.1069413E-01          0.1612135E-03
 41.0189         0.4010299E-02          0.6045506E-04
 41.8646         0.8020598E-02          0.1209101E-03
 42.7104         0.5347065E-02          0.8060675E-04
 43.5561         0.8020598E-02          0.1209101E-03
 44.4019         0.4010299E-02          0.6045506E-04
 45.2476         0.2673533E-02          0.4030337E-04
 46.0934         0.2673533E-02          0.4030337E-04
 46.9391         0.1203090E-01          0.1813652E-03
 47.7849         0.6683832E-02          0.1007584E-03
 48.6306         0.4010299E-02          0.6045506E-04
 49.4764         0.8020598E-02          0.1209101E-03
 50.3221         0.9357364E-02          0.1410618E-03
 51.1679         0.2673533E-02          0.4030337E-04
 52.0136         0.6683832E-02          0.1007584E-03
 52.8594         0.6683832E-02          0.1007584E-03
 53.7051         0.1336766E-02          0.2015169E-04
 54.5509         0.2673533E-02          0.4030337E-04
 55.3966         0.4010299E-02          0.6045506E-04
 56.2424         0.2005149E-01          0.3022753E-03
 57.0881         0.1470443E-01          0.2216686E-03
 57.9339         0.1336766E-01          0.2015169E-03
 58.7796         0.8020598E-02          0.1209101E-03
 59.6254         0.4143976E-01          0.6247023E-03
 60.4711         0.1323399E+00          0.1995017E-02
 61.3169         0.2847312E+00          0.4292309E-02
 62.1626         0.1550649E+00          0.2337596E-02
 63.0084         0.7886921E-01          0.1188949E-02
 63.8541         0.9918806E+00          0.1495255E-01
 64.6999         0.2221706E+01          0.3349210E-01
 65.5456         0.4010299E-02          0.6045506E-04
 66.3914         0.2673533E-02          0.4030337E-04
 67.2371         0.6550155E-01          0.9874326E-03
 68.0829         0.1015942E+00          0.1531528E-02
 68.9286         0.0000000E+00          0.0000000E+00
 69.7744         0.0000000E+00          0.0000000E+00
 70.6201         0.0000000E+00          0.0000000E+00
 71.4659         0.0000000E+00          0.0000000E+00
 72.3116         0.0000000E+00          0.0000000E+00
 73.1574         0.0000000E+00          0.0000000E+00
 74.0031         0.0000000E+00          0.0000000E+00
 74.8489         0.0000000E+00          0.0000000E+00
 75.6946         0.0000000E+00          0.0000000E+00
 76.5404         0.0000000E+00          0.0000000E+00
 77.3861         0.0000000E+00          0.0000000E+00
 78.2319         0.0000000E+00          0.0000000E+00
 79.0776         0.0000000E+00          0.0000000E+00
 79.9234         0.0000000E+00          0.0000000E+00
 80.7691         0.0000000E+00          0.0000000E+00
 81.6149         0.0000000E+00          0.0000000E+00
 82.4606         0.0000000E+00          0.0000000E+00
 83.3064         0.0000000E+00          0.0000000E+00
 84.1521         0.0000000E+00          0.0000000E+00
