 Pressure tensor from virial route using IK-VR1 definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 10.0300         0.0000             0.0000             0.0000             0.0000             0.0000             0.0000             0.0000
 10.0400         0.0000             0.0000             0.0000             0.0000             0.0000             0.0000             0.0000
 10.0500         0.0000           -28.3543             0.0000           -28.3543          -108.7293             0.0000          -108.7293
 10.0600         0.0000           -27.4560             0.0000           -27.4560          -106.2362             0.0000          -106.2362
 10.0700         0.0000           -27.4292             0.0000           -27.4292          -106.2183             0.0000          -106.2183
 10.0800         0.0000           -27.4196             0.0000           -27.4196          -106.1530             0.0000          -106.1530
 10.0900         0.0000           -27.4183             0.0000           -27.4183          -106.0320             0.0000          -106.0320
 10.1000         0.0000           -27.4183             0.0000           -27.4183          -106.0248             0.0000          -106.0248
 10.1100         0.0000           -27.4183             0.0000           -27.4183          -105.9464             0.0000          -105.9464
 10.1200         0.0000           -27.4183             0.0000           -27.4183          -105.9464             0.0000          -105.9464
 10.1300         0.0000           -27.4183             0.0000           -27.4183          -105.9244             0.0000          -105.9244
 10.1400         0.0000           -27.4183             0.0000           -27.4183          -105.8703             0.0000          -105.8703
 10.1500         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.1600         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.1700         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.1800         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.1900         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2000         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2100         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2200         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2300         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2400         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2500         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2600         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2701         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2801         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.2901         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3001         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3101         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3201         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3301         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3401         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3501         0.0000           -27.4183             0.0000           -27.4183          -105.8552             0.0000          -105.8552
 10.3601         0.0000           -27.4157             0.0000           -27.4157          -105.8552             0.0000          -105.8552
 10.3701         0.0000           -27.4167             0.0000           -27.4167          -105.8552             0.0000          -105.8552
 10.3801         0.0000           -27.4218             0.0000           -27.4218          -105.8552             0.0000          -105.8552
 10.3901         0.0000           -27.4171             0.0000           -27.4171          -105.8552             0.0000          -105.8552
 10.4001         0.0000           -27.4265             0.0000           -27.4265          -105.8552             0.0000          -105.8552
 10.4101         0.0000           -27.4248             0.0000           -27.4248          -105.8552             0.0000          -105.8552
 10.4201         0.0000           -27.4337             0.0000           -27.4337          -105.8552             0.0000          -105.8552
 10.4301         0.0000           -27.4392             0.0000           -27.4392          -105.8552             0.0000          -105.8552
 10.4401         0.0000           -27.4315             0.0000           -27.4315          -105.8552             0.0000          -105.8552
 10.4501         0.0000           -27.4112             0.0000           -27.4112          -105.8552             0.0000          -105.8552
 10.4601         0.0000           -27.4143             0.0000           -27.4143          -105.8552             0.0000          -105.8552
 10.4701         0.0000           -27.4301             0.0000           -27.4301          -105.8552             0.0000          -105.8552
 10.4801         0.0000           -27.4201             0.0000           -27.4201          -105.8552             0.0000          -105.8552
 10.4901         0.0000           -27.4432             0.0000           -27.4432          -105.8552             0.0000          -105.8552
 10.5001         0.0000           -27.4179             0.0000           -27.4179          -105.8552             0.0000          -105.8552
 10.5101         0.0000           -27.4100             0.0000           -27.4100          -105.8552             0.0000          -105.8552
 10.5201         0.0000           -27.3969             0.0000           -27.3969          -105.8552             0.0000          -105.8552
 10.5301         0.0000           -27.4266             0.0000           -27.4266          -105.8552             0.0000          -105.8552
 10.5401         0.0000           -27.4215             0.0000           -27.4215          -105.8552             0.0000          -105.8552
 10.5501         0.0000           -27.4389             0.0000           -27.4389          -105.8552             0.0000          -105.8552
 10.5601         0.0000           -27.4397             0.0000           -27.4397          -105.8552             0.0000          -105.8552
 10.5701         0.0000           -27.4279             0.0000           -27.4279          -105.8552             0.0000          -105.8552
 10.5801         0.0000           -27.4393             0.0000           -27.4393          -105.8552             0.0000          -105.8552
 10.5901         0.0000           -27.4173             0.0000           -27.4173          -105.8552             0.0000          -105.8552
 10.6001         0.0000           -27.3880             0.0000           -27.3880          -105.8552             0.0000          -105.8552
 10.6101         0.0000           -27.4157             0.0000           -27.4157          -105.8552             0.0000          -105.8552
 10.6201         0.0000           -27.3960             0.0000           -27.3960          -105.8552             0.0000          -105.8552
 10.6301         0.0000           -27.4169             0.0000           -27.4169          -105.8552             0.0000          -105.8552
 10.6401         0.0000           -27.4062             0.0000           -27.4062          -105.8552             0.0000          -105.8552
 10.6501         0.0000           -27.4055             0.0000           -27.4055          -105.8552             0.0000          -105.8552
 10.6601         0.0000           -27.3925             0.0000           -27.3925          -105.8552             0.0000          -105.8552
 10.6701         0.0000           -27.3795             0.0000           -27.3795          -105.8552             0.0000          -105.8552
 10.6801         0.0000           -27.3716             0.0000           -27.3716          -105.8552             0.0000          -105.8552
 10.6901         0.0000           -27.4101             0.0000           -27.4101          -105.8552             0.0000          -105.8552
 10.7001         0.0000           -27.4418             0.0000           -27.4418          -105.8552             0.0000          -105.8552
 10.7101         0.0000           -27.4255             0.0000           -27.4255          -105.8552             0.0000          -105.8552
 10.7201         0.0000           -27.4313             0.0000           -27.4313          -105.8552             0.0000          -105.8552
 10.7301         0.0000           -27.4118             0.0000           -27.4118          -105.8552             0.0000          -105.8552
 10.7402         0.0000           -27.4170             0.0000           -27.4170          -105.8552             0.0000          -105.8552
 10.7502         0.0000           -27.4320             0.0000           -27.4320          -105.8552             0.0000          -105.8552
 10.7602         0.0000           -27.4529             0.0000           -27.4529          -105.8552             0.0000          -105.8552
 10.7702         0.0000           -27.4404             0.0000           -27.4404          -105.8552             0.0000          -105.8552
