Molecule name: CO2   
  z             z-rho [g/ml]           z-rho [1/A^3]
  0.2500         0.0000000E+00          0.0000000E+00
  0.7500         0.0000000E+00          0.0000000E+00
  1.2500         0.0000000E+00          0.0000000E+00
  1.7500         0.0000000E+00          0.0000000E+00
  2.2500         0.0000000E+00          0.0000000E+00
  2.7500         0.0000000E+00          0.0000000E+00
  3.2500         0.0000000E+00          0.0000000E+00
  3.7500         0.0000000E+00          0.0000000E+00
  4.2500         0.0000000E+00          0.0000000E+00
  4.7500         0.0000000E+00          0.0000000E+00
  5.2500         0.0000000E+00          0.0000000E+00
  5.7500         0.0000000E+00          0.0000000E+00
  6.2500         0.0000000E+00          0.0000000E+00
  6.7500         0.0000000E+00          0.0000000E+00
  7.2500         0.0000000E+00          0.0000000E+00
  7.7500         0.0000000E+00          0.0000000E+00
  8.2500         0.0000000E+00          0.0000000E+00
  8.7500         0.0000000E+00          0.0000000E+00
  9.2500         0.0000000E+00          0.0000000E+00
  9.7500         0.0000000E+00          0.0000000E+00
 10.2500         0.0000000E+00          0.0000000E+00
 10.7500         0.0000000E+00          0.0000000E+00
 11.2500         0.0000000E+00          0.0000000E+00
 11.7500         0.0000000E+00          0.0000000E+00
 12.2500         0.0000000E+00          0.0000000E+00
 12.7500         0.0000000E+00          0.0000000E+00
 13.2500         0.0000000E+00          0.0000000E+00
 13.7500         0.0000000E+00          0.0000000E+00
 14.2500         0.0000000E+00          0.0000000E+00
 14.7500         0.0000000E+00          0.0000000E+00
 15.2500         0.0000000E+00          0.0000000E+00
 15.7500         0.0000000E+00          0.0000000E+00
 16.2500         0.0000000E+00          0.0000000E+00
 16.7500         0.0000000E+00          0.0000000E+00
 17.2500         0.0000000E+00          0.0000000E+00
 17.7500         0.0000000E+00          0.0000000E+00
 18.2500         0.0000000E+00          0.0000000E+00
 18.7500         0.0000000E+00          0.0000000E+00
 19.2500         0.0000000E+00          0.0000000E+00
 19.7500         0.0000000E+00          0.0000000E+00
 20.2500         0.0000000E+00          0.0000000E+00
 20.7500         0.0000000E+00          0.0000000E+00
 21.2500         0.0000000E+00          0.0000000E+00
 21.7500         0.0000000E+00          0.0000000E+00
 22.2500         0.0000000E+00          0.0000000E+00
 22.7500         0.0000000E+00          0.0000000E+00
 23.2500         0.0000000E+00          0.0000000E+00
 23.7500         0.0000000E+00          0.0000000E+00
 24.2500         0.0000000E+00          0.0000000E+00
 24.7500         0.0000000E+00          0.0000000E+00
 25.2500         0.0000000E+00          0.0000000E+00
 25.7500         0.0000000E+00          0.0000000E+00
 26.2500         0.0000000E+00          0.0000000E+00
 26.7500         0.0000000E+00          0.0000000E+00
 27.2500         0.0000000E+00          0.0000000E+00
 27.7500         0.1341339E+00          0.1835431E-02
 28.2500         0.0000000E+00          0.0000000E+00
 28.7500         0.0000000E+00          0.0000000E+00
 29.2500         0.0000000E+00          0.0000000E+00
 29.7500         0.0000000E+00          0.0000000E+00
 30.2500         0.0000000E+00          0.0000000E+00
 30.7500         0.0000000E+00          0.0000000E+00
 31.2500         0.6706694E-01          0.9177155E-03
 31.7500         0.0000000E+00          0.0000000E+00
 32.2500         0.0000000E+00          0.0000000E+00
 32.7500         0.0000000E+00          0.0000000E+00
 33.2500         0.0000000E+00          0.0000000E+00
 33.7500         0.0000000E+00          0.0000000E+00
 34.2500         0.0000000E+00          0.0000000E+00
 34.7500         0.0000000E+00          0.0000000E+00
 35.2500         0.0000000E+00          0.0000000E+00
 35.7500         0.6706694E-01          0.9177155E-03
 36.2500         0.0000000E+00          0.0000000E+00
 36.7500         0.0000000E+00          0.0000000E+00
 37.2500         0.6706694E-01          0.9177155E-03
 37.7500         0.0000000E+00          0.0000000E+00
 38.2500         0.6706694E-01          0.9177155E-03
 38.7500         0.0000000E+00          0.0000000E+00
 39.2500         0.0000000E+00          0.0000000E+00
 39.7500         0.6706694E-01          0.9177155E-03
 40.2500         0.0000000E+00          0.0000000E+00
 40.7500         0.0000000E+00          0.0000000E+00
 41.2500         0.0000000E+00          0.0000000E+00
 41.7500         0.6706694E-01          0.9177155E-03
 42.2500         0.6706694E-01          0.9177155E-03
 42.7500         0.0000000E+00          0.0000000E+00
 43.2500         0.0000000E+00          0.0000000E+00
 43.7500         0.6706694E-01          0.9177155E-03
 44.2500         0.0000000E+00          0.0000000E+00
 44.7500         0.6706694E-01          0.9177155E-03
 45.2500         0.0000000E+00          0.0000000E+00
