Molecule name: Ar    
  z             z-rho [g/ml]           z-rho [1/A^3]
 10.0300         0.0000000E+00          0.0000000E+00
 10.0400         0.0000000E+00          0.0000000E+00
 10.0500         0.0000000E+00          0.0000000E+00
 10.0600         0.0000000E+00          0.0000000E+00
 10.0700         0.0000000E+00          0.0000000E+00
 10.0800         0.0000000E+00          0.0000000E+00
 10.0900         0.0000000E+00          0.0000000E+00
 10.1000         0.0000000E+00          0.0000000E+00
 10.1100         0.0000000E+00          0.0000000E+00
 10.1200         0.0000000E+00          0.0000000E+00
 10.1300         0.0000000E+00          0.0000000E+00
 10.1400         0.0000000E+00          0.0000000E+00
 10.1500         0.0000000E+00          0.0000000E+00
 10.1600         0.0000000E+00          0.0000000E+00
 10.1700         0.0000000E+00          0.0000000E+00
 10.1800         0.0000000E+00          0.0000000E+00
 10.1900         0.0000000E+00          0.0000000E+00
 10.2000         0.0000000E+00          0.0000000E+00
 10.2100         0.0000000E+00          0.0000000E+00
 10.2200         0.0000000E+00          0.0000000E+00
 10.2300         0.0000000E+00          0.0000000E+00
 10.2400         0.0000000E+00          0.0000000E+00
 10.2500         0.0000000E+00          0.0000000E+00
 10.2600         0.0000000E+00          0.0000000E+00
 10.2701         0.0000000E+00          0.0000000E+00
 10.2801         0.0000000E+00          0.0000000E+00
 10.2901         0.0000000E+00          0.0000000E+00
 10.3001         0.0000000E+00          0.0000000E+00
 10.3101         0.0000000E+00          0.0000000E+00
 10.3201         0.0000000E+00          0.0000000E+00
 10.3301         0.0000000E+00          0.0000000E+00
 10.3401         0.0000000E+00          0.0000000E+00
 10.3501         0.0000000E+00          0.0000000E+00
 10.3601         0.0000000E+00          0.0000000E+00
 10.3701         0.0000000E+00          0.0000000E+00
 10.3801         0.0000000E+00          0.0000000E+00
 10.3901         0.0000000E+00          0.0000000E+00
 10.4001         0.0000000E+00          0.0000000E+00
 10.4101         0.0000000E+00          0.0000000E+00
 10.4201         0.0000000E+00          0.0000000E+00
 10.4301         0.0000000E+00          0.0000000E+00
 10.4401         0.0000000E+00          0.0000000E+00
 10.4501         0.0000000E+00          0.0000000E+00
 10.4601         0.0000000E+00          0.0000000E+00
 10.4701         0.0000000E+00          0.0000000E+00
 10.4801         0.0000000E+00          0.0000000E+00
 10.4901         0.0000000E+00          0.0000000E+00
 10.5001         0.0000000E+00          0.0000000E+00
 10.5101         0.0000000E+00          0.0000000E+00
 10.5201         0.0000000E+00          0.0000000E+00
 10.5301         0.0000000E+00          0.0000000E+00
 10.5401         0.0000000E+00          0.0000000E+00
 10.5501         0.0000000E+00          0.0000000E+00
 10.5601         0.0000000E+00          0.0000000E+00
 10.5701         0.0000000E+00          0.0000000E+00
